index:ID,film,:LABEL
10001,肖申克的救赎,电影
10002,霸王别姬,电影
10003,这个杀手不太冷,电影
10004,阿甘正传,电影
10005,美丽人生,电影
10006,泰坦尼克号,电影
10007,千与千寻,电影
10008,辛德勒的名单,电影
10009,盗梦空间,电影
10010,忠犬八公的故事,电影
10011,机器人总动员,电影
10012,三傻大闹宝莱坞,电影
10013,海上钢琴师,电影
10014,放牛班的春天,电影
10015,楚门的世界,电影
10016,大话西游之大圣娶亲,电影
10017,星际穿越,电影
10018,龙猫,电影
10019,教父,电影
10020,熔炉,电影
10021,无间道,电影
10022,疯狂动物城,电影
10023,当幸福来敲门,电影
10024,怦然心动,电影
10025,触不可及,电影
10026,7号房的礼物,电影
10027,怪兽电力公司,电影
10028,萤火之森,电影
10029,唐伯虎点秋香,电影
10030,岁月神偷,电影
10031,超能陆战队,电影
10032,蝙蝠侠：黑暗骑士崛起,电影
10033,七武士,电影
10034,电锯惊魂,电影
10035,真爱至上,电影
10036,谍影重重3,电影
10037,疯狂原始人,电影
10038,萤火虫之墓,电影
10039,天使爱美丽,电影
10040,沉默的羔羊,电影
10041,勇敢的心,电影
10042,喜剧之王,电影
10043,一一,电影
10044,喜宴,电影
10045,东邪西毒,电影
10046,贫民窟的百万富翁,电影
10047,英雄本色,电影
10048,黑天鹅,电影
10049,无人知晓,电影
10050,一次别离,电影
10051,追随,电影
10052,魂断蓝桥,电影
10053,未麻的部屋,电影
10054,猜火车,电影
10055,三块广告牌,电影
10056,教父2,电影
10057,素媛,电影
10058,乱世佳人,电影
10059,蝙蝠侠：黑暗骑士,电影
10060,活着,电影
10061,少年派的奇幻漂流,电影
10062,剪刀手爱德华,电影
10063,蝴蝶效应,电影
10064,猫鼠游戏,电影
10065,春光乍泄,电影
10066,消失的爱人,电影
10067,射雕英雄传之东成西就,电影
10068,阳光姐妹淘,电影
10069,甜蜜蜜,电影
10070,爱在黎明破晓前,电影
10071,记忆碎片,电影
10072,心迷宫,电影
10073,血战钢锯岭,电影
10074,傲慢与偏见,电影
10075,雨人,电影
10076,时空恋旅人,电影
10077,荒蛮故事,电影
10078,纵横四海,电影
10079,教父3,电影
10080,卢旺达饭店,电影
10081,玩具总动员3,电影
