:START_ID,:END_ID,relation,:TYPE
20134,30326,合作,合作
20134,31991,合作,合作
20134,32059,合作,合作
20134,33261,合作,合作
20134,31721,合作,合作
20134,32613,合作,合作
20134,32206,合作,合作
20134,31842,合作,合作
20134,30209,合作,合作
20134,31950,合作,合作
20134,32626,合作,合作
20134,31914,合作,合作
20134,33010,合作,合作
20134,32015,合作,合作
20134,30259,合作,合作
20134,30893,合作,合作
20134,33141,合作,合作
20134,30013,合作,合作
20134,32397,合作,合作
20134,33064,合作,合作
20134,31281,合作,合作
20134,31246,合作,合作
20134,31319,合作,合作
20134,31316,合作,合作
20134,30420,合作,合作
20143,31224,合作,合作
20143,32319,合作,合作
20143,30027,合作,合作
20143,33204,合作,合作
20143,30840,合作,合作
20143,31780,合作,合作
20143,30876,合作,合作
20143,30579,合作,合作
20143,30129,合作,合作
20143,32434,合作,合作
20143,30111,合作,合作
20143,31873,合作,合作
20143,33333,合作,合作
20143,33403,合作,合作
20143,32642,合作,合作
20143,30631,合作,合作
20143,30769,合作,合作
20143,31091,合作,合作
20143,32899,合作,合作
20099,32919,合作,合作
20099,32910,合作,合作
20099,32067,合作,合作
20099,32557,合作,合作
20099,30871,合作,合作
20099,30042,合作,合作
20099,31114,合作,合作
20099,32898,合作,合作
20099,30575,合作,合作
20099,31944,合作,合作
20099,32505,合作,合作
20099,30811,合作,合作
20099,30307,合作,合作
20099,32999,合作,合作
20099,31109,合作,合作
20099,31400,合作,合作
20009,30171,合作,合作
20009,30979,合作,合作
20009,30009,合作,合作
20009,32867,合作,合作
20009,30667,合作,合作
20009,33110,合作,合作
20009,31689,合作,合作
20009,31989,合作,合作
20009,31364,合作,合作
20009,32293,合作,合作
20009,31402,合作,合作
20009,32520,合作,合作
20009,31911,合作,合作
20009,32776,合作,合作
20009,32115,合作,合作
20009,30188,合作,合作
20009,30306,合作,合作
20009,30609,合作,合作
20009,30550,合作,合作
20009,31414,合作,合作
20009,31041,合作,合作
20009,31698,合作,合作
20009,31394,合作,合作
20009,31571,合作,合作
20009,32952,合作,合作
20009,33155,合作,合作
