:START_ID,:END_ID,relation,:TYPE
20134,10001,导演,导演
20143,10002,导演,导演
20099,10003,导演,导演
20009,10004,导演,导演
20012,10005,导演,导演
20030,10006,导演,导演
20082,10007,导演,导演
20026,10008,导演,导演
20109,10009,导演,导演
20147,10010,导演,导演
20022,10011,导演,导演
20168,10012,导演,导演
20102,10013,导演,导演
20105,10014,导演,导演
20096,10015,导演,导演
20197,10016,导演,导演
20109,10017,导演,导演
20082,10018,导演,导演
20137,10019,导演,导演
20100,10020,导演,导演
20044,10021,导演,导演
20182,10021,导演,导演
20016,10022,导演,导演
20107,10022,导演,导演
20159,10022,导演,导演
20120,10023,导演,导演
20156,10024,导演,导演
20138,10025,导演,导演
20173,10025,导演,导演
20196,10026,导演,导演
20078,10027,导演,导演
20112,10027,导演,导演
20029,10027,导演,导演
20103,10028,导演,导演
20068,10029,导演,导演
20166,10030,导演,导演
20024,10031,导演,导演
20084,10031,导演,导演
20109,10032,导演,导演
20077,10033,导演,导演
20085,10034,导演,导演
20008,10035,导演,导演
20001,10036,导演,导演
20151,10037,导演,导演
20118,10037,导演,导演
20060,10038,导演,导演
20179,10039,导演,导演
20110,10040,导演,导演
20091,10041,导演,导演
20116,10042,导演,导演
20068,10042,导演,导演
20002,10043,导演,导演
20162,10044,导演,导演
20178,10045,导演,导演
20160,10046,导演,导演
20146,10046,导演,导演
20140,10047,导演,导演
20092,10048,导演,导演
20031,10049,导演,导演
20049,10050,导演,导演
20109,10051,导演,导演
20154,10052,导演,导演
20014,10053,导演,导演
20160,10054,导演,导演
20129,10055,导演,导演
20137,10056,导演,导演
20167,10057,导演,导演
20003,10058,导演,导演
20101,10058,导演,导演
20028,10058,导演,导演
20109,10059,导演,导演
20027,10060,导演,导演
20162,10061,导演,导演
20061,10062,导演,导演
20124,10063,导演,导演
20113,10063,导演,导演
20026,10064,导演,导演
20178,10065,导演,导演
20080,10066,导演,导演
20197,10067,导演,导演
20054,10068,导演,导演
20174,10069,导演,导演
20119,10070,导演,导演
20109,10071,导演,导演
20125,10072,导演,导演
20091,10073,导演,导演
20104,10074,导演,导演
20139,10075,导演,导演
20008,10076,导演,导演
20194,10077,导演,导演
20140,10078,导演,导演
20137,10079,导演,导演
20190,10080,导演,导演
20029,10081,导演,导演
20187,10082,导演,导演
20090,10083,导演,导演
20161,10084,导演,导演
20030,10085,导演,导演
20063,10086,导演,导演
20177,10087,导演,导演
20132,10088,导演,导演
20175,10089,导演,导演
20152,10090,导演,导演
20158,10091,导演,导演
20069,10092,导演,导演
20077,10093,导演,导演
20148,10094,导演,导演
20127,10095,导演,导演
20162,10096,导演,导演
20176,10097,导演,导演
20142,10098,导演,导演
20066,10098,导演,导演
20144,10099,导演,导演
20029,10100,导演,导演
20145,10100,导演,导演
20102,10101,导演,导演
20059,10102,导演,导演
20062,10103,导演,导演
20053,10104,导演,导演
20058,10105,导演,导演
20081,10106,导演,导演
20025,10107,导演,导演
20165,10108,导演,导演
20067,10109,导演,导演
20082,10110,导演,导演
20030,10111,导演,导演
20093,10112,导演,导演
20114,10113,导演,导演
20014,10114,导演,导演
20133,10115,导演,导演
20038,10116,导演,导演
20118,10116,导演,导演
20015,10117,导演,导演
20082,10118,导演,导演
20178,10119,导演,导演
20086,10120,导演,导演
20115,10121,导演,导演
20011,10122,导演,导演
20180,10122,导演,导演
20023,10123,导演,导演
20097,10124,导演,导演
20070,10125,导演,导演
20089,10126,导演,导演
20006,10127,导演,导演
20031,10128,导演,导演
20186,10129,导演,导演
20076,10130,导演,导演
20163,10130,导演,导演
20092,10131,导演,导演
20119,10132,导演,导演
20083,10133,导演,导演
20004,10134,导演,导演
20056,10135,导演,导演
20178,10136,导演,导演
20082,10137,导演,导演
20141,10138,导演,导演
20048,10139,导演,导演
20019,10140,导演,导演
20185,10141,导演,导演
20080,10142,导演,导演
20039,10143,导演,导演
20184,10144,导演,导演
20051,10144,导演,导演
20148,10145,导演,导演
20082,10146,导演,导演
20078,10147,导演,导演
20131,10147,导演,导演
20040,10148,导演,导演
20007,10149,导演,导演
20065,10150,导演,导演
20064,10151,导演,导演
20140,10152,导演,导演
20062,10153,导演,导演
20164,10154,导演,导演
20071,10155,导演,导演
20128,10156,导演,导演
20079,10157,导演,导演
20095,10158,导演,导演
20123,10158,导演,导演
20074,10159,导演,导演
20057,10160,导演,导演
20119,10161,导演,导演
20037,10162,导演,导演
20007,10163,导演,导演
20078,10164,导演,导演
20072,10164,导演,导演
20121,10165,导演,导演
20098,10165,导演,导演
20107,10166,导演,导演
20055,10167,导演,导演
20195,10167,导演,导演
20033,10168,导演,导演
20136,10169,导演,导演
20089,10170,导演,导演
20042,10171,导演,导演
20045,10172,导演,导演
20035,10172,导演,导演
20134,10173,导演,导演
20017,10174,导演,导演
20157,10175,导演,导演
20045,10175,导演,导演
20032,10175,导演,导演
20034,10176,导演,导演
20184,10177,导演,导演
20051,10177,导演,导演
20031,10178,导演,导演
20013,10179,导演,导演
20102,10180,导演,导演
20150,10181,导演,导演
20062,10182,导演,导演
20026,10183,导演,导演
20197,10184,导演,导演
20080,10185,导演,导演
20122,10186,导演,导演
20082,10187,导演,导演
20193,10188,导演,导演
20193,10189,导演,导演
20178,10190,导演,导演
20162,10191,导演,导演
20005,10192,导演,导演
20042,10193,导演,导演
20050,10194,导演,导演
20061,10195,导演,导演
20026,10196,导演,导演
20073,10197,导演,导演
20093,10112,导演,导演
20188,10199,导演,导演
20094,10200,导演,导演
20026,10201,导演,导演
20171,10202,导演,导演
20087,10203,导演,导演
20169,10204,导演,导演
20043,10205,导演,导演
20021,10206,导演,导演
20026,10207,导演,导演
20183,10208,导演,导演
20181,10209,导演,导演
20001,10210,导演,导演
20002,10211,导演,导演
20108,10212,导演,导演
20109,10213,导演,导演
20088,10214,导演,导演
20149,10214,导演,导演
20080,10215,导演,导演
20189,10216,导演,导演
20050,10217,导演,导演
20135,10218,导演,导演
20117,10219,导演,导演
20047,10220,导演,导演
20020,10221,导演,导演
20170,10222,导演,导演
20096,10223,导演,导演
20036,10224,导演,导演
20094,10225,导演,导演
20185,10226,导演,导演
20018,10227,导演,导演
20183,10228,导演,导演
20010,10229,导演,导演
20172,10229,导演,导演
20052,10230,导演,导演
20041,10231,导演,导演
