:START_ID,:END_ID,relation,:TYPE
10001,40015,属于类型,属于类型
10001,40010,属于类型,属于类型
10002,40015,属于类型,属于类型
10002,40008,属于类型,属于类型
10002,40023,属于类型,属于类型
10003,40015,属于类型,属于类型
10003,40024,属于类型,属于类型
10003,40010,属于类型,属于类型
10004,40015,属于类型,属于类型
10004,40008,属于类型,属于类型
10005,40015,属于类型,属于类型
10005,40003,属于类型,属于类型
10005,40008,属于类型,属于类型
10005,40005,属于类型,属于类型
10006,40015,属于类型,属于类型
10006,40008,属于类型,属于类型
10006,40026,属于类型,属于类型
10007,40015,属于类型,属于类型
10007,40002,属于类型,属于类型
10007,40013,属于类型,属于类型
10008,40015,属于类型,属于类型
10008,40006,属于类型,属于类型
10008,40005,属于类型,属于类型
10009,40015,属于类型,属于类型
10009,40007,属于类型,属于类型
10009,40011,属于类型,属于类型
10009,40025,属于类型,属于类型
10010,40015,属于类型,属于类型
10011,40008,属于类型,属于类型
10011,40007,属于类型,属于类型
10011,40002,属于类型,属于类型
10011,40025,属于类型,属于类型
10012,40015,属于类型,属于类型
10012,40003,属于类型,属于类型
10012,40008,属于类型,属于类型
10012,40020,属于类型,属于类型
10013,40015,属于类型,属于类型
10013,40001,属于类型,属于类型
10014,40015,属于类型,属于类型
10014,40001,属于类型,属于类型
10015,40015,属于类型,属于类型
10015,40007,属于类型,属于类型
10016,40003,属于类型,属于类型
10016,40008,属于类型,属于类型
10016,40013,属于类型,属于类型
10016,40012,属于类型,属于类型
10017,40015,属于类型,属于类型
10017,40007,属于类型,属于类型
10017,40025,属于类型,属于类型
10018,40002,属于类型,属于类型
10018,40013,属于类型,属于类型
10018,40025,属于类型,属于类型
10019,40015,属于类型,属于类型
10019,40010,属于类型,属于类型
10020,40015,属于类型,属于类型
10021,40015,属于类型,属于类型
10021,40011,属于类型,属于类型
10021,40010,属于类型,属于类型
10022,40003,属于类型,属于类型
10022,40002,属于类型,属于类型
10022,40025,属于类型,属于类型
10023,40015,属于类型,属于类型
10023,40014,属于类型,属于类型
10023,40021,属于类型,属于类型
10024,40015,属于类型,属于类型
10024,40003,属于类型,属于类型
10024,40008,属于类型,属于类型
10025,40015,属于类型,属于类型
10025,40003,属于类型,属于类型
10026,40015,属于类型,属于类型
10026,40003,属于类型,属于类型
10026,40014,属于类型,属于类型
10027,40003,属于类型,属于类型
10027,40002,属于类型,属于类型
10027,40016,属于类型,属于类型
10027,40013,属于类型,属于类型
10027,40025,属于类型,属于类型
10028,40015,属于类型,属于类型
10028,40008,属于类型,属于类型
10028,40002,属于类型,属于类型
10028,40013,属于类型,属于类型
10029,40003,属于类型,属于类型
10029,40008,属于类型,属于类型
10029,40012,属于类型,属于类型
10030,40015,属于类型,属于类型
10030,40014,属于类型,属于类型
10031,40003,属于类型,属于类型
10031,40024,属于类型,属于类型
10031,40007,属于类型,属于类型
10031,40002,属于类型,属于类型
10031,40025,属于类型,属于类型
10032,40015,属于类型,属于类型
10032,40024,属于类型,属于类型
10032,40007,属于类型,属于类型
10032,40018,属于类型,属于类型
10032,40010,属于类型,属于类型
10033,40015,属于类型,属于类型
10033,40024,属于类型,属于类型
10033,40025,属于类型,属于类型
10034,40011,属于类型,属于类型
10034,40018,属于类型,属于类型
10034,40004,属于类型,属于类型
10035,40015,属于类型,属于类型
10035,40003,属于类型,属于类型
10035,40008,属于类型,属于类型
10036,40024,属于类型,属于类型
10036,40011,属于类型,属于类型
10036,40018,属于类型,属于类型
10037,40003,属于类型,属于类型
10037,40002,属于类型,属于类型
10037,40025,属于类型,属于类型
